병원이름,주소,응급의료기관 종류,전화번호 1,전화번호 3,위도,경도
(의)내경의료재단울산제일병원,울산광역시 남구 남산로354번길 26 (신정동),응급실운영신고기관,052-220-3300,052-220-3334,35.54823820112527,129.30701143429678
(의)서일의료재단기장병원,부산광역시 기장군 기장읍 대청로72번길 6,지역응급의료기관,051-723-0171,051-723-2119,35.23602946449906,129.21649161387128
(의)성세의료재단 뉴성민병원,"인천광역시 서구 칠천왕로33번길 17 (석남동, 신석로 70(석남1동, 성민병원))",지역응급의료기관,032-726-1000,032-726-1190,37.5089936801167,126.669478649026
(의)영문의료재단다보스병원,"경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)",지역응급의료센터,031-8021-2114,031-8021-2130,37.234641294534285,127.21049868474802
(의)효심의료재단용인서울병원,경기도 용인시 처인구 고림로 81 (고림동),지역응급의료기관,031-337-0114,031-336-0119,37.240316373,127.2144914405
(재)미리내천주성삼성직수도회천주성삼병원,"대구광역시 수성구 달구벌대로 3190 (신매동, 천주성삼병원)",지역응급의료기관,053-790-1000,053-790-0555,35.84022544517349,128.70573339664242
KS병원,광주광역시 광산구 왕버들로 220 (수완동),지역응급의료센터,062-975-9000,062-975-9119,35.197963178976366,126.83322475289853
가톨릭관동대학교국제성모병원,"인천광역시 서구 심곡로100번길 25 (심곡동, 인천국제성모병원)",지역응급의료센터,1600-8291,032-290-3065,37.542372653918065,126.68360486878781
가톨릭대학교 인천성모병원,인천광역시 부평구 동수로 56 (부평동),지역응급의료센터,032-280-6364,032-280-6107,37.4845586499062,126.724708130675
가톨릭대학교부천성모병원,"경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)",지역응급의료센터,032-1577-0675,032-340-2100,37.4874477394264,126.79243459154999
가톨릭대학교성빈센트병원,경기도 수원시 팔달구 중부대로 93 (지동),지역응급의료센터,031-1577-8588,031-249-7370,37.27792234538125,127.02744945028702
가톨릭대학교여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",지역응급의료센터,1661-7575,02-3779-1188,37.51827233800711,126.93673129599131
가톨릭대학교은평성모병원,서울특별시 은평구 통일로 1021 (진관동),지역응급의료센터,02-1811-7755,02-1811-7755,37.633608409726854,126.91615048739686
가톨릭대학교의정부성모병원,"경기도 의정부시 천보로 271, 의정부성모병원 (금오동)",권역응급의료센터,1661-7500,031-820-5200,37.75865547828227,127.07767290194454
